"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"compassNSEW","https://www.tripadvisor.com/Profile/compassNSEW","https://media-cdn.tripadvisor.com/media/photo-s/02/9c/67/c7/compassnsew.jpg","Renton, WA","5","Sep 2021 • Family","Really fun and enjoyable experience","We flew up to Roche Harbor on Sunday and back on Tuesday.  Everything was great. Departures were on time, flights were smooth and everything was really pleasant and fun. We plan on doing it again.","Family","0","https://media-cdn.tripadvisor.com/media/photo-w/1e/0c/87/59/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/1e/0c/87/58/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/1e/0c/87/57/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/1e/0c/87/56/caption.jpg","Written September 21, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Reese","https://www.tripadvisor.com/Profile/reeeese","https://media-cdn.tripadvisor.com/media/photo-o/1c/f7/47/d5/reeeese.jpg","","5","Sep 2021 • Family","A wonderful first time experience on a seaplane","My family and I booked a package tour with Friday Harbor Seaplanes and Western Prince Explorer Whale Watching. We all had a great and comfortable time on the flight, which felt safe, but also exhilarating. Our pilots were knowledgable and professional as well. During this package deal we had enough to time enjoy Friday Harbor before doing the whale watch tour part. Thank you for this fun tour and I look forward to booking with this trustworthy company again.","Family","0","","Written September 19, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Eduardo Ortiz","https://www.tripadvisor.com/Profile/zitro_eduardo","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg","","5","Sep 2021 • Solo","Amazing!","Amazing experience! It's a MUST during your visit en Seattle area! Thank you very much for this lovely flying day.","Solo","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/fc/d6/9f/san-juan-island-tour.jpg","Written September 18, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Tim T","https://www.tripadvisor.com/Profile/timteh888","","","5","Sep 2021","Thank you Northwest.","With limited options due to covid, we needed to charter a flight out of Renton to Vancouver Island and Northwest was our recommended option. The team of Michelle, Shane and our pilot Jim were helpful, professional and accommodating the whole way. <br /><br />Class act organization and a great way to travel. <br /><br />Thanks Northwest, we will definitely fly with you again.","","0","","Written September 15, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Shelovestotravel","https://www.tripadvisor.com/Profile/EdiePDX","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg","Portland, OR","5","Sep 2021 • Solo","Hate flying, loved this flight!","I generally hate flying, but this saved me hours of travel time for a long weekend so I did it. I really enjoyed my flight! It is less than an hour and the plane flies low enough that you get a beautiful view of the area, including flying over downtown Seattle and seeing harbor seals on small islands! Bonus points that I got to sit up front in the copilot’s seat! Will definitely fly Friday Harbor Seaplanes in the future.","Solo","0","https://media-cdn.tripadvisor.com/media/photo-w/1d/e7/c1/f0/seattle-to-friday-harbor.jpg","Written September 14, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Robert A","https://www.tripadvisor.com/Profile/lawyer47","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg","Seattle, WA","5","Sep 2021","Best Flights to San Juans, period!","Friday Harbor is the best San Juan seaplane service, hands down!  Great pilots, great Beavers and Otters, great staff and easy to use website.","","0","","Written September 7, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"NaomiGz","https://www.tripadvisor.com/Profile/NaomiGz","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg","Seattle, WA","5","Sep 2021","Best seaplane experience in Seattle","The crew was great and the trip was super smooth all around. Loved it and can't wait for our next trip out!","","0","","Written September 3, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Tina W","https://www.tripadvisor.com/Profile/TinaW175","https://media-cdn.tripadvisor.com/media/photo-s/26/af/9b/54/tinaw175.jpg","Northampton, MA","5","","Fun way to start a vacation","Great way to get to Friday Harbor, we flew into SeaTac, had a very friendly shuttle to Renton, he was solicitous, helpful, and chatty.  Everyone wore masks in the van.  The sea plane was really fun, our pilot gave a safety briefing that I definitely payed attention to, and then gave a great tour on our way. He made sure to fine a smooth ride and when he saw orcas, he did a few circles so both side could see them.  We would definitely doit again.","","0","","Written September 2, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Mary Jo M","https://www.tripadvisor.com/Profile/964maryjom","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg","","5","Aug 2021","great way to travel","It was an easy way to go from Friday Harbor to Seattle.<br />The trip was wonderful and the pilot was great.","","0","","Written August 31, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Dan G","https://www.tripadvisor.com/Profile/dangZ8538PK","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg","Redwood City, CA","5","Aug 2021","Fantastic!","Everything was amazing.  The shuttle driver from the airport through check in, the ambiance at the hangar in Renton and the flight was fantastic.  The staff and pilot were all very welcoming.  My first sea plane ride.  We went round trip and the return was just as nice.","","0","","Written August 31, 2021","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
